source,category,gender,age_unit,age,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,846,1,90.251000000000005,0.036360000000000003,80.406000000000006,83.688000000000002,86.968999999999994,90.251000000000005,93.533000000000001,96.813999999999993,100.096
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,847,1,90.276899999999998,0.03637,80.427000000000007,83.71,86.994,90.277000000000001,93.56,96.843999999999994,100.127
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,848,1,90.302599999999998,0.036380000000000003,80.447000000000003,83.731999999999999,87.016999999999996,90.302999999999997,93.587999999999994,96.873000000000005,100.158
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,849,1,90.328400000000002,0.036389999999999999,80.466999999999999,83.754000000000005,87.040999999999997,90.328000000000003,93.614999999999995,96.903000000000006,100.19
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,850,1,90.354100000000003,0.036400000000000002,80.486999999999995,83.775999999999996,87.064999999999998,90.353999999999999,93.643000000000001,96.932000000000002,100.221
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,851,1,90.379900000000006,0.036409999999999998,80.507999999999996,83.798000000000002,87.088999999999999,90.38,93.671000000000006,96.960999999999999,100.252
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,852,1,90.405600000000007,0.036420000000000001,80.528000000000006,83.82,87.113,90.406000000000006,93.697999999999993,96.991,100.283
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,853,1,90.431200000000004,0.036429999999999997,80.548000000000002,83.841999999999999,87.137,90.430999999999997,93.725999999999999,97.02,100.31399999999999
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,854,1,90.456900000000005,0.03644,80.567999999999998,83.864000000000004,87.161000000000001,90.456999999999994,93.753,97.049000000000007,100.346
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,855,1,90.482500000000002,0.036450000000000003,80.587999999999994,83.885999999999996,87.183999999999997,90.481999999999999,93.781000000000006,97.078999999999994,100.377
